Al Amal Station_Urban Station_RCRC AIR Quality Monitoring Network.,,,,,,,,,,,,,,,,,,,
Dates ,ADA_08 - 08_AP mbar      ,ADA_08 - 08_AT degreC    ,ADA_08 - 08_BENZ ppb       ,ADA_08 - 08_CO ppm       ,ADA_08 - 08_EBEN ppb       ,ADA_08 - 08_MPXY ppb       ,ADA_08 - 08_NO ppb       ,ADA_08 - 08_NO2 ppb       ,ADA_08 - 08_NOX ppb       ,ADA_08 - 08_03 ppb       ,ADA_08 - 08_OXYL ppb       ,ADA_08 - 08_PM10 ug/m3     ,ADA_08 - 08_PM25 ug/m3     ,ADA_08 - 08_RH %         ,ADA_08 - 08_SO2 ppb       ,ADA_08 - 08_SR W/m2      ,ADA_08 - 08_TOLU ppb       ,ADA_08 - 08_WD degre     ,ADA_08 - 08_WS m/s       
1/10/2024 1:00,973.3,30.84,3.08,1.05,2.01,6.03,2.6,34.6,37.2,13.49,2.13,81.3,14.8,11.81,2.5,0,11.38,148.2,1.05
1/10/2024 2:00,973.1,30.46,1.72,0.89,1.04,3.37,1.3,23.3,24.6,26.74,1.22,87.8,19.6,12.32,2.3,0,6.13,141.6,0.84
1/10/2024 3:00,972.9,30.38,1.35,0.93,0.59,1.9,0.4,21.6,22.1,31.68,0.69,96.7,25.7,12.96,1.7,0,4.38,127.5,0.7
1/10/2024 4:00,972.8,29.76,1.16,0.82,0.6,1.98,1,28.7,29.7,22.3,0.65,92.2,18,13.75,1.7,0,4.63,108.5,0.8
1/10/2024 5:00,973.1,29.74,1.9,0.82,1.01,3.21,1.1,28.7,29.9,23.25,1.11,109.2,21.6,13.91,1.8,0,7.18,147.8,1.22
1/10/2024 6:00,973.5,29.21,2.98,1.25,0.9,2.88,2.1,32.8,34.9,19.71,1.04,85.7,22.6,15.05,1.8,1.5,6.72,142.2,1.33
1/10/2024 7:00,974.1,29,3.19,1.84,0.93,3.23,9.2,40.2,49.4,12.18,1.15,79.7,22.5,16.27,2,47.6,7.85,135.3,1.07
1/10/2024 8:00,974.6,30.37,3.99,1.77,1.43,4.96,10.9,34.2,45.1,19.05,1.8,81,20.5,15.62,2.7,125.3,10.67,141.4,1.25
1/10/2024 9:00,975.1,32.35,2.89,1.39,0.95,3.31,11.4,28.4,39.7,23.84,1.19,86.3,30.8,14.88,2.3,226.8,7.93,144.3,1.02
1/10/2024 10:00,975.2,34.29,2.69,1.3,1.09,3.47,10.3,25.1,35.3,29.36,1.28,86.2,33.3,13.5,2.5,615,8.16,155.7,1.01
1/10/2024 11:00,974.7,37.01,2.12,1.09,1.24,3.94,9.4,20.6,30.1,35.67,1.45,115.2,26.6,9.9,2.6,843.4,8.36,149.4,1.16
1/10/2024 12:00,973.8,38.33,1.89,1.11,1.22,3.49,5.9,15.8,21.7,39.58,1.26,91.4,24.7,7.67,2.6,895.9,9.06,162.3,1.49
1/10/2024 13:00,973,39.25,1.69,1.01,0.94,2.92,6.1,13.9,19.9,40.7,1.04,87.8,17.5,6.95,2.5,882.5,8.53,154.8,1.28
