StationName,lat,lon,MonthlyMean
 13Bhj, 23.25, 69.66,               9.0561748E-02
 15Chd, 30.73, 76.88,               0.4619921
 03Gwh, 26.10, 91.58,               0.7702206
 04Jdp, 26.30, 73.01,               0.4738720
 10Kol, 22.65, 88.45,               0.6511576
 12Ndl, 28.58, 77.20,               0.8609157
 05Ngp, 21.10, 79.05,               0.2494577
 06Pbl, 11.66, 92.71,               0.1265219
 01Pun, 18.53, 73.85,               0.2706331
 11Rch, 23.31, 85.31,               0.3499765
 02Rnc, 30.25, 78.08,               0.1814052
 16Srn, 34.08, 74.83,               0.8031679
 07Trv, 08.48, 76.95,               0.5426026
 09Vns, 25.30, 83.01,                1.113803
 08Vsk, 17.71, 83.23,               0.2299577
